Name,Company,Distillation,ABV,Location,Score,nRatings,Aged,Distilled,Type,Full Name,Country,Price_unit,Popularity,Popularity_scaled,Quebec
Royal Danish Navy 40%,A. H. Riise,,40.0%,Denmark,7.0,147,,2024,Golden,,,,11.997212273764115,7.463745392526545,False
XO 20th Anniversary (old bottle),Plantation,,40.0%,Multiple,8.3,146,,2024,Brown,,,,13.290432586778737,8.317621150778098,False
15-Year,Malteco,,40.0%,Guatemala,7.2,146,15.0,2024,Brown,,,,12.190432586778737,7.591323145230077,False
Navy,Lamb's,,40.0%,Canada,4.9,145,,2024,Black,,,,9.883606621708337,6.068193056523693,False
XXX 7-Year,Old Monk,Pot and Column Still,,India,5.4,144,7.0,2024,Brown,,,,10.376733742420575,6.393790551300908,False
Single Barrel,Cruzan,,40.0%,"Virgin Islands, U.S.",7.0,142,,2024,Amber,Cruzan Single Barrel,United States,54.0,11.962844630259907,7.441053437133371,True
Private Cask,Atlantico,,,Dominican Republic,6.7,139,,2024,Brown,,,,11.641642422609305,7.2289729618658685,False
Reserve 8-Year,Appleton Estate,,43.0%,Jamaica,6.7,139,8.0,2024,Amber,Appleton Estate Reserve 8 years,Jamaica,49.67,11.641642422609305,7.2289729618658685,True
XO,UNHIQ,,40.0%,Dominican Republic,9.1,139,,2024,Brown,,,,14.041642422609304,8.813623155788823,False
Black Gold Special Reserve,Blackwell,,,Jamaica,6.8,139,,2024,Brown,,,,11.741642422609303,7.295000053279322,False
Original 80,Stroh,,,Austria,3.1,138,,2024,Flavoured,,,,8.034473933130691,4.847264525880425,False
Leyenda,Brugal,,40.0%,Dominican Republic,8.4,137,,2024,Brown,,,,13.327253685157206,8.341933051063888,False
23-Year,Presidente,,40.0%,Dominican Republic,8.1,137,23.0,2024,Brown,,,,13.027253685157206,8.143851776823519,False
2000,Diplomatico,,,Venezuela,9.2,137,,2000,Brown,,,,14.127253685157203,8.87014978237154,False
7-Year,Angostura,,40.0%,Trinidad and Tobago,6.5,135,7.0,2024,Brown,,,,11.412654885736053,7.0777791515691435,False
1703 Old Cask,Mount Gay,,,Barbados,7.9,133,,2024,Brown,,,,12.79783979995091,7.992376461123197,False
Blanco,Havana Club,,40.0%,Cuba,4.3,131,,2024,White,,,,9.182801922586371,5.605472097204634,False
Black Strap,Cruzan,,,"Virgin Islands, U.S.",6.4,131,,2024,Black,,,,11.282801922586371,6.992041016887221,False
XO Cask,Ron Esclavo,,40.0%,Dominican Republic,8.9,131,,2024,Brown,,,,13.782801922586371,8.642718302223633,False
Imperial Onyx,Barcelo,,,Dominican Republic,7.5,129,,2024,Brown,,,,12.367534450455583,7.708258354654923,False
Añejo,Diplomatico,,40.0%,Venezuela,6.3,127,,2024,Golden,,,,11.152030263919617,6.90569629427643,False
Spiced,Dead Man's Fingers,,,United Kingdom,6.0,127,,2024,Spiced,Dead Man's Fingers,United Kingdom,41.67,10.852030263919616,6.70761502003606,True
8-Year,Hampden Estate,Pot and Column Still,,Jamaica,7.6,126,8.0,2024,Brown,,,,12.44418708645859,7.758869860699454,False
Limon,Bacardi,,40.0%,Puerto Rico,3.4,126,,2024,Flavoured,Bacardi Limon,United States,35.73,8.244187086458592,4.98573202133428,True
Anejo,Barcelo,,40.0%,Dominican Republic,5.4,125,,2024,Amber,Barcelo Gran Anejo,Dominican Republic,42.33,10.23628190695148,6.301054289503851,True
23-Year,Quorhum,,40.0%,Dominican Republic,7.8,122,23.0,2024,Brown,,,,12.612184355372417,7.869793571017295,False
Spiced,Bayou,,40.0%,United States,7.0,121,,2024,Spiced,,,,11.804021044733258,7.3361868431315616,False
Reserve,Appleton Estate,,,Jamaica,6.3,121,,2024,Amber,Appleton Estate Reserve 8 years,Jamaica,49.67,11.104021044733257,6.873997203237366,True
XO,Santos Dumont,,40.0%,Brazil,7.2,120,,2024,Brown,,,,11.99579054559674,7.462806666769822,False
Habanero 12-Year,El Ron Prohibido,,,Mexico,5.2,119,12.0,2024,Amber,El Ron Prohibido 12 years old Habanero,Mexico,61.67,9.987491742782046,6.136785380380011,True
Panama Extra Añejo 12-Year,Companero,Column Still (1-4),54.0%,Multiple,7.4,118,12.0,2024,Brown,,,,12.179123493111529,7.583856079616396,False
19-Year,Presidente,,,Dominican Republic,8.1,118,19.0,2024,Brown,,,,12.879123493111528,8.046045719510591,False
Luxus,Dos Maderas,,40.0%,Barbados,8.7,117,,2024,Amber,Dos Maderas Luxus,Spain,285.71,13.470684624465665,8.436636328476265,True
Caribbean,Duppy Share,,40.0%,Multiple,6.4,117,,2024,Brown,,,,11.170684624465665,6.918013225966765,False
Gran Anejo Guatemala,Plantation,,,Multiple,7.2,114,,2024,Amber,Plantation Guatemala Gran Anejo,Guatemala,60.0,11.94493212836325,7.429226333131629,True
5+3,Dos Maderas,,40.0%,Barbados,6.2,113,,2024,Amber,Williams & Humbert Dos Maderas 5+3,Spain,65.67,10.936198448394496,6.763188824140335,True
1888 Copenhagen Gold Medal,A. H. Riise,,40.0%,Denmark,7.4,113,,2024,Brown,,,,12.136198448394495,7.555513921101813,False
Especial,Pampero,,40.0%,Venezuela,5.4,111,,2024,Brown,,,,10.118498871295095,6.223285576881467,False
Rare Casks 12-Year,Appleton Estate,,,Jamaica,7.7,110,12.0,2024,Brown,,,,12.409530201312334,7.735986927462878,False
XV,Brugal,,,Dominican Republic,6.2,108,,2024,Amber,Brugal XV,Dominican Republic,52.0,10.891347882229145,6.733575299818886,True
Grande Reserva 16-Year,Zaya,,40.0%,Trinidad and Tobago,6.0,108,16.0,2024,Brown,,,,10.691347882229143,6.601521116991972,False
Reserva Ocho Rare Gold 8-Year,Bacardi,,40.0%,Puerto Rico,6.2,108,8.0,2024,Brown,,,,10.891347882229145,6.733575299818886,False
Isle Fiji,Plantation,,40.0%,Multiple,6.5,107,,2024,Amber,Plantation Isle of Fidji,Fiji,55.0,11.18213122712422,6.925571084767864,True
Reserve du Domaine 15-Year,Barbancourt,,,Haiti,7.5,106,15.0,2024,Brown,,,,12.172828834461907,7.579699899595644,False
100,Captain Morgan,,,Puerto Rico,4.6,106,,2024,Spiced,,,,9.272828834461905,5.664914248605405,False
Gold,Blue Mauritius,,40.0%,Mauritius,7.4,106,,2024,Golden,,,,12.072828834461905,7.513672808182187,False
2002,Diplomatico,,,Venezuela,8.7,106,,2002,Brown,,,,13.372828834461906,8.372024996557123,False
Carta Negra,Bacardi,,40.0%,Puerto Rico,4.8,105,,2024,Black,,,,9.463439094112067,5.790768658988044,False
Gran Reserva Diez 10-Year,Bacardi,,40.0%,Puerto Rico,7.0,104,10.0,2024,Amber,Bacardi Gran Reserva Diez 10 Years Old,Puerto Rico,61.0,11.653960350157522,7.237106131148373,True
10-Year,Malteco,,,Guatemala,6.6,104,10.0,2024,Brown,,,,11.253960350157524,6.972997765494547,False
Aniversario Reserva 10-Year,Millonario,,40.0%,Peru,7.0,104,10.0,2024,Brown,,,,11.653960350157522,7.237106131148373,False
Dominicano Superior,Relicario,,,Dominican Republic,6.3,103,,2024,Golden,,,,10.944390899141371,6.768598061083977,False
Centenario 25-30-Year,Cubaney,,40.0%,Dominican Republic,9.2,103,,2024,Brown,,,,13.844390899141372,8.683383712074216,False
XO Perpetual,Dictador,,40.0%,Colombia,8.3,103,,2024,Brown,,,,12.944390899141373,8.089139889353108,False
2004 Zinfandel Cask Blend 11-Year,Foursquare,Pot and Column Still,43.0%,Barbados,8.4,102,11.0,2004,Brown,,,,13.034728988229636,8.148787502016585,False
Aged,Deadhead,,40.0%,Mexico,5.0,101,,2024,Brown,,,,9.62497281328427,5.897424675409431,False
Gold,Cruzan,,40.0%,"Virgin Islands, U.S.",6.3,100,,2024,Golden,,,,10.91512051684126,6.749271679005614,False
Imperial Premium Blend 30 Aniversario,Barcelo,,,Dominican Republic,7.7,100,,2024,Brown,,,,12.31512051684126,7.673650958794006,False
Pacto Navio,Havana Club,,40.0%,Cuba,6.6,100,,2024,Brown,,,,11.21512051684126,6.947352953245984,False
Cristal,Don Q,,40.0%,Puerto Rico,6.1,99,,2024,White,Don Q Cristal,Puerto Rico,37.87,10.705170185988091,6.610647582130338,True
25-Year,Opthimus,,38.0%,Dominican Republic,8.6,99,25.0,2024,Brown,,,,13.205170185988091,8.261324867466751,False
Cannon Blast,Captain Morgan,,,Puerto Rico,4.4,97,,2024,Spiced,,,,8.984967478670573,5.4748477680730465,False
2005 Port Cask Finish 9-Year,Foursquare,Pot and Column Still,40.0%,Barbados,8.2,97,9.0,2005,Brown,,,,12.784967478670572,7.983877241784393,False
Original UP,Bundaberg,,,Australia,3.1,97,,2024,Golden,,,,7.684967478670572,4.616495579698111,False
