Name,Company,Distillation,ABV,Location,Score,nRatings,Aged,Distilled,Type,Full Name,Country,Price_unit,Popularity,Popularity_scaled,Quebec
1,Mez Clado,,40.0%,Denmark,7.5,4,,2024,Flavoured,,,,9.1094379124341,5.557031975156816,False
Cherry,Bacardi,,,Puerto Rico,2.8,4,,2024,Flavoured,,,,4.4094379124341,2.4537586787243604,False
Golden Reserve,Bundaberg,,40.0%,Australia,3.0,4,,2024,Brown,,,,4.6094379124341005,2.5858128615512737,False
ArrangÃ© Vanille Des Tropiques,Riviere du Mat,,40.0%,Reunion,5.5,4,,2024,Flavoured,,,,7.1094379124341005,4.236490146887687,False
Black,Inner Circle,,40.0%,Australia,5.8,4,,2024,Black,,,,7.4094379124341,4.434571421128056,False
Dark & Aged,Rum Club,,40.0%,Denmark,6.5,4,,2024,Spiced,,,,8.1094379124341,4.896761061022251,False
5-Year,Cane Mill,,40.0%,Barbados,6.3,4,5.0,2024,Brown,,,,7.9094379124341,4.764706878195338,False
1993 Trinidad,Plantation,,40.0%,Multiple,8.3,4,,1993,Brown,,,,9.9094379124341,6.085248706464469,False
Distillers No. 3,Bundaberg,,,Australia,7.0,4,,2024,Brown,,,,8.6094379124341,5.226896518089533,False
Ananas,La Mauny,Column Still (1-4),40.0%,Martinique,4.3,4,,2024,Flavoured,,,,5.9094379124341,3.4441650499262084,False
2003 Guyana,Mezan,,40.0%,Multiple,5.3,4,,2003,Brown,,,,6.9094379124341,4.104435964060774,False
Caribbean Spiced,Sirens Call,,40.0%,United Kingdom,3.0,4,,2024,Spiced,,,,4.6094379124341005,2.5858128615512737,False
Overproof Unaged White WPE,Warehouse #1,Pot Still,63.0%,Czechia,7.5,4,,2024,White,,,,9.1094379124341,5.557031975156816,False
1994 Jamaica New Yarmouth 26-Year,S.B.S.,Column Still (1-4),57.0%,Denmark,8.0,4,26.0,1994,Brown,,,,9.6094379124341,5.887167432224098,False
1988 Premium,Routa,,40.0%,Finland,8.3,4,,1988,Brown,,,,9.9094379124341,6.085248706464469,False
21-Year,Calero,,40.0%,Panama,7.0,4,21.0,2024,Brown,,,,8.6094379124341,5.226896518089533,False
Gunpowder,Smoke and Oakum's,,40.0%,New Zealand,8.7,4,,2024,Black,,,,10.309437912434099,6.349357072118293,False
Anejo Reserva 5-Year,Cubaney,,40.0%,Dominican Republic,5.3,4,5.0,2024,Golden,,,,6.9094379124341,4.104435964060774,False
Cocobana 16-Year,Zaya,,40.0%,Trinidad and Tobago,6.3,4,16.0,2024,Flavoured,,,,7.9094379124341,4.764706878195338,False
Orange,Cruzan,,,"Virgin Islands, U.S.",4.5,4,,2024,Flavoured,,,,6.1094379124341005,3.5762192327531213,False
Arrange Exotique,Isautier,,40.0%,Reunion,6.3,4,,2024,Flavoured,,,,7.9094379124341,4.764706878195338,False
Spiced,Bati,,,Fiji,6.5,4,,2024,Spiced,,,,8.1094379124341,4.896761061022251,False
Light,Lyon,,40.0%,United States,6.8,4,,2024,White,,,,8.4094379124341,5.094842335262621,False
Edicion Poas,Jaguar,,,Costa Rica,5.3,4,,2024,Golden,,,,6.9094379124341,4.104435964060774,False
1999 Reserve Single Cask for Concierge Sales 21-Year,Chairman's,Pot Still,67.7%,Saint Lucia,6.8,4,21.0,1999,Brown,,,,8.4094379124341,5.094842335262621,False
New England Reserve 2-Year,Privateer,Pot Still,45.0%,United States,8.0,4,2.0,2024,Brown,,,,9.6094379124341,5.887167432224098,False
1998 Grenada,Mezan,,40.0%,Multiple,7.7,3,,1998,Brown,,,,9.08629436111989,5.541750961374263,False
Caroni Trinidad Felicite Gold 4-Year,Bristol Classic,,40.0%,United Kingdom,7.3,3,4.0,2024,Brown,,,,8.68629436111989,5.277642595720437,False
Haitian 9-Year,Berry's,,40.0%,Multiple,6.0,3,9.0,2024,Brown,,,,7.386294361119891,4.419290407345502,False
2007 Guyana Teeling Single Malt Irish Whiskey Cask Finish 15-Year,Plantation,Pot Still,53.6%,Multiple,8.0,3,15.0,2007,Brown,,,,9.38629436111989,5.7398322356146325,False
Coconut,Mahiki,,,Barbados,5.3,3,,2024,Flavoured,,,,6.686294361119891,3.957100767451307,False
Export Strength,Bundaberg,,,Australia,3.7,3,,2024,White,,,,5.086294361119891,2.9006673048360025,False
8-Year,Frigate Reserve,,40.0%,Panama,5.7,3,8.0,2024,Brown,,,,7.086294361119891,4.221209133105133,False
AmbrÃ© 18-Month,Ferroni,,40.0%,Cuba,7.0,3,,2024,Golden,,,,8.38629436111989,5.0795613214800674,False
2005 Guyana Port Mourant Demerara 15-Year,Holmes Cay,,,United States,6.7,3,15.0,2005,Brown,,,,8.08629436111989,4.881480047239698,False
Blend Number 17,Private Selection,,40.0%,Jamaica,7.0,3,,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
1998 Diamond 20-Year,Rum Artesanal,,52.0%,Multiple,7.3,3,20.0,1998,Brown,,,,8.68629436111989,5.277642595720437,False
Enlightenment,Edwin Charley,,40.0%,Jamaica,7.3,3,,2024,Golden,,,,8.68629436111989,5.277642595720437,False
1990 Guyanan Uitvlugt 27-Year,The Nectar Of The Daily Drams,,,Belgium,7.5,3,27.0,1990,Brown,,,,8.88629436111989,5.40969677854735,False
White,Rebellion,,40.0%,Multiple,2.7,3,,2024,White,,,,4.086294361119891,2.2403963907014375,False
Gold,Tapanga,,40.0%,South Africa,6.5,3,,2024,Golden,,,,7.886294361119891,4.749425864412785,False
florida silver,Wicked Dolphin,Pot and Column Still,40.0%,United States,6.3,3,,2024,Golden,,,,7.686294361119891,4.617371681585872,False
Silver,Ron Carlos,,40.0%,United States,3.5,3,,2024,White,,,,4.886294361119891,2.7686131220090897,False
Spiced,Delaware Distilling Company,,40.0%,United States,6.5,3,,2024,Spiced,,,,7.886294361119891,4.749425864412785,False
Amber,Puerto Angel,,40.0%,Mexico,6.3,3,,2024,Golden,,,,7.686294361119891,4.617371681585872,False
Dos Azores,Antila,,40.0%,Portugal,4.7,3,,2024,White,,,,6.086294361119891,3.560938218970568,False
Dark,New Grove,,40.0%,Mauritius,4.3,3,,2024,Black,,,,5.686294361119891,3.2968298533167415,False
Reserva Real 12-Year,Mulata,,40.0%,Cuba,5.3,3,12.0,2024,Brown,,,,6.686294361119891,3.957100767451307,False
1998 Demerara,Moon Import,,,Italy,8.3,3,,1998,Brown,,,,9.686294361119892,5.937913509855003,False
Silver,Smatts,,40.0%,Jamaica,5.5,3,,2024,White,,,,6.886294361119891,4.089154950278219,False
Brazil Barbados Moscatel Cask,S.B.S.,,,Denmark,6.5,3,,2024,Brown,,,,7.886294361119891,4.749425864412785,False
1997 Port Mourant,Velier,,,Multiple,9.7,3,,1997,Brown,,,,11.08629436111989,6.8622927896433925,False
Rum Punch,Clarkes Court,,,Grenada,3.7,3,,2024,Flavoured,,,,5.086294361119891,2.9006673048360025,False
Spiced,Captain Gold,,,Jamaica,1.3,3,,2024,Spiced,,,,2.6862943611198906,1.316017110913046,False
Spiced,Thrasherâ€™s,,,United States,6.7,3,,2024,Spiced,,,,8.08629436111989,4.881480047239698,False
Single Barrel 8-Year,Edward Teach,,,Cayman Islands,6.7,3,8.0,2024,Brown,,,,8.08629436111989,4.881480047239698,False
Dunderhead,Atom Labs,,42.0%,United Kingdom,7.3,3,,2024,Black,,,,8.68629436111989,5.277642595720437,False
White 75,Rivers Royal Granadian,Pot Still,75.0%,Grenada,6.5,3,,2024,White,,,,7.886294361119891,4.749425864412785,False
Gran Reserva 130 Anniversary 7-Year,Flor de CaÃ±a,,40.0%,Nicaragua,7.7,3,7.0,2024,Brown,,,,9.08629436111989,5.541750961374263,False
2014 Edicion Profesional A 4-Year,Havana Club,,40.0%,Cuba,7.7,3,4.0,2014,White,,,,9.08629436111989,5.541750961374263,False
1986 Jamaica 26-Year,Rum Nation,,,Italy,10.0,3,26.0,1986,Brown,,,,11.38629436111989,7.0603740638837635,False
Spiced Chocolate,Morbleu,,,Canada,5.3,3,,2024,Flavoured,Morbleu Black,Canada,49.0,6.686294361119891,3.957100767451307,True
Wolfberry,Bacardi,,,Puerto Rico,1.7,3,,2024,Flavoured,,,,3.0862943611198905,1.5801254765668724,False
Gunpowder 57,Fano Skibsrom,,57.2%,Denmark,8.0,3,,2024,Spiced,,,,9.38629436111989,5.7398322356146325,False
Grand Anejo 8,Hispaniola,,40.0%,Dominican Republic,6.7,3,,2024,Brown,,,,8.08629436111989,4.881480047239698,False
PX Liqueur,SAMAI,,38.0%,Cambodia,3.5,3,,2024,Flavoured,,,,4.886294361119891,2.7686131220090897,False
2005 Belize 10-Year,Kill Devil (Hunter Laing),,,United Kingdom,6.7,3,10.0,2005,Brown,,,,8.08629436111989,4.881480047239698,False
Venzuela XO Single Cask,Rum & Cane,,,Andorra,8.5,3,,2024,Brown,,,,9.88629436111989,6.0699676926819155,False
2007 Rasta Morris Barbados Frousquare 13-Year,Asta Morris,,61.7%,Belgium,8.0,3,13.0,2007,Brown,,,,9.38629436111989,5.7398322356146325,False
Special Reserve White Port Cask 15-Year,El Dorado,,,Guyana,8.3,3,15.0,2024,Brown,,,,9.686294361119892,5.937913509855003,False
Ti Ananas Victoria,Ti Arrange de Ced,,,France,6.0,3,,2024,Flavoured,Ti Arrangés de Ced Ananas Victoria Rum,France,69.64,7.386294361119891,4.419290407345502,True
Fire Ship,Captain Morgan,,,Puerto Rico,6.0,3,,2024,Spiced,,,,7.386294361119891,4.419290407345502,False
Dominion Series 2 LCBO Exclusive 12-Year,Foursquare,Pot and Column Still,48.0%,Barbados,8.3,3,12.0,2024,Brown,,,,9.686294361119892,5.937913509855003,False
2019 Jamaica DOK PX Cask Matured for Rum & Co 2-Year,S.B.S.,Pot Still,68.7%,Denmark,8.0,3,2.0,2019,Brown,,,,9.38629436111989,5.7398322356146325,False
Spiced,Bones,,,"Virgin Islands, U.S.",7.0,3,,2024,Spiced,,,,8.38629436111989,5.0795613214800674,False
Green Spiced,Thrasherâ€™s,,40.0%,United States,6.0,3,,2024,Spiced,,,,7.386294361119891,4.419290407345502,False
Extreme No4 Long Pond 2000 ITP 20-Year,Plantation,,52.1%,Multiple,9.0,3,20.0,2024,Brown,,,,10.38629436111989,6.400103149749198,False
Spain XO Single Cask,Rum & Cane,,,Andorra,7.7,3,,2024,Brown,,,,9.08629436111989,5.541750961374263,False
8-Year,Ron Panama,,40.0%,Panama,6.0,3,8.0,2024,Brown,,,,7.386294361119891,4.419290407345502,False
Cuba XO,Rum & Cane,,40.0%,Andorra,5.3,3,,2024,Brown,,,,6.686294361119891,3.957100767451307,False
1998 Bellevue Guadeloupe 17-Year,Silver Seal,,,Italy,7.7,3,17.0,1998,Brown,,,,9.08629436111989,5.541750961374263,False
2003 Guyana Diamond MPM 14-Year,Cadenhead's,Pot Still,59.6%,United Kingdom,6.3,3,14.0,2003,Brown,,,,7.686294361119891,4.617371681585872,False
Premium 6-Year,Calazan,,40.0%,Venezuela,7.0,3,6.0,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
Platinum,Ron Plata,,40.0%,Nicaragua,3.0,3,,2024,White,,,,4.386294361119891,2.438477664941807,False
Spiced,4670,,,Australia,0.0,3,,2024,Spiced,,,,1.3862943611198906,0.4576649225381116,False
6-Year,Flying Dutchman,,40.0%,Netherlands,7.3,3,6.0,2024,Brown,,,,8.68629436111989,5.277642595720437,False
Caribbean Spiced,Boquerón,,,Multiple,6.7,3,,2024,Spiced,,,,8.08629436111989,4.881480047239698,False
Key Lime,Prichard's,,,United States,3.0,3,,2024,Flavoured,,,,4.386294361119891,2.438477664941807,False
Antigua 5-Year,Cavalier,Column Still (1-4),43.0%,Antigua and Barbuda,6.0,3,5.0,2024,Brown,,,,7.386294361119891,4.419290407345502,False
2020 Moscatel Wine Finish 12-Year,Ron Esclavo,,46.0%,Dominican Republic,6.3,3,12.0,2020,Brown,,,,7.686294361119891,4.617371681585872,False
1996 Barbados Multi Distilleries 20-Year,Compagnie des Indes,,45.0%,France,7.0,3,20.0,1996,Brown,,,,8.38629436111989,5.0795613214800674,False
1998 Jamaica Hampden,Rum Nation,,,Italy,8.7,3,,1998,Brown,,,,10.08629436111989,6.202021875508828,False
2004 Black Barrel 10-Year,Bundaberg,,40.0%,Australia,7.0,3,10.0,2004,Brown,,,,8.38629436111989,5.0795613214800674,False
1998 Trinidad Caroni 18-Year,Compagnie des Indes,,,France,8.3,3,18.0,1998,Brown,,,,9.686294361119892,5.937913509855003,False
5-Year,Pirate's Grog,,,Honduras,7.3,3,5.0,2024,Spiced,,,,8.68629436111989,5.277642595720437,False
Dry Spiced,World's End,,40.0%,Belgium,6.7,3,,2024,Spiced,,,,8.08629436111989,4.881480047239698,False
Silver Dry,Punta Cana,,40.0%,Dominican Republic,6.5,3,,2024,White,,,,7.886294361119891,4.749425864412785,False
Silver,Port Hawk,,40.0%,United States,1.0,3,,2024,White,,,,2.386294361119891,1.1179358366726768,False
1983 Jamaica Old Reserve,Plantation,,,Multiple,8.0,3,,1983,Brown,,,,9.38629436111989,5.7398322356146325,False
Spiced,New Grove,,,Mauritius,6.3,3,,2024,Spiced,,,,7.686294361119891,4.617371681585872,False
Oloroso Sherry Cask Limited Edition,Navy Island,Pot Still,46.3%,Jamaica,8.5,3,,2024,Brown,,,,9.88629436111989,6.0699676926819155,False
Gold,Jah45,,,United Kingdom,7.3,3,,2024,Golden,,,,8.68629436111989,5.277642595720437,False
2001 Trinidad 19-Year,Transcontinental Rum Line,Column Still (1-4),66.8%,France,7.3,3,19.0,2001,Brown,,,,8.68629436111989,5.277642595720437,False
Seleccion Especial,Don Q,,40.0%,Puerto Rico,5.3,3,,2024,Brown,,,,6.686294361119891,3.957100767451307,False
Superior White,Formosa,,40.0%,Taiwan,5.0,3,,2024,White,,,,6.386294361119891,3.7590194932109373,False
2004 Fiji Secret Distillery 12-Year,Ultimatum,,46.0%,Netherlands Antilles,7.3,3,12.0,2004,Brown,,,,8.68629436111989,5.277642595720437,False
Reserva 5-Year,Escudero,,40.0%,Sweden,6.7,3,5.0,2024,Brown,,,,8.08629436111989,4.881480047239698,False
500 Cuts Coconut And Vanilla,Brewdog,,40.0%,United Kingdom,1.0,3,,2024,Flavoured,,,,2.386294361119891,1.1179358366726768,False
2008 Panama 10-Year,Mezan,,46.0%,Multiple,9.3,3,10.0,2008,Brown,,,,10.686294361119892,6.598184423989569,False
Spiced,Libations,,40.0%,United Kingdom,7.3,3,,2024,Spiced,,,,8.68629436111989,5.277642595720437,False
Royal Blend,Plantation,,40.0%,Multiple,7.7,3,,2024,Brown,,,,9.08629436111989,5.541750961374263,False
Panama 15-Year,Silver Seal,,,Italy,8.5,3,15.0,2024,Brown,,,,9.88629436111989,6.0699676926819155,False
1990 Port Morant Demerara Port Finish,Bristol Classic,,,United Kingdom,8.3,3,,1990,Brown,,,,9.686294361119892,5.937913509855003,False
Anejo De Luxe,Estelar,,40.0%,Ecuador,5.7,3,,2024,Golden,,,,7.086294361119891,4.221209133105133,False
Solera 21-Year,Ron Hero,,40.0%,Italy,8.3,3,21.0,2024,Brown,,,,9.686294361119892,5.937913509855003,False
Silver,Old J,,,United Kingdom,4.5,3,,2024,Spiced,,,,5.886294361119891,3.4288840361436552,False
Black Cherry,Kingston,,40.0%,Barbados,1.7,3,,2024,Flavoured,,,,3.0862943611198905,1.5801254765668724,False
2012 Panama Ruby Port Cask Finish 8-Year,Artesano,Column Still (1-4),40.6%,Germany,7.0,3,8.0,2012,Brown,,,,8.38629436111989,5.0795613214800674,False
Coconut 4-Year,Pirates Fire,,65.0%,Bahamas,9.0,3,4.0,2024,White,,,,10.38629436111989,6.400103149749198,False
XO 15-Year,Saint Christopher,,40.0%,Netherlands Antilles,6.0,3,15.0,2024,Brown,,,,7.386294361119891,4.419290407345502,False
Imperial Rare Blends Porto Cask,Barcelo,,40.0%,Dominican Republic,8.0,3,,2024,Brown,,,,9.38629436111989,5.7398322356146325,False
2017 FAQ Plastic,Mhoba,Pot Still,64.3%,South Africa,8.0,3,,2017,Brown,,,,9.38629436111989,5.7398322356146325,False
2017 Mhoba Single Cask 4-Year,Holmes Cay,Pot Still,59.0%,United States,6.3,3,4.0,2017,Brown,,,,7.686294361119891,4.617371681585872,False
1992 Venezuela,Plantation,,,Multiple,8.0,3,,1992,Brown,,,,9.38629436111989,5.7398322356146325,False
Barbados Jamaica XO,Plantation,,,Multiple,8.5,3,,2024,Amber,Plantation Single Cask Multi Island Jamaica Barbados XO Côteaux du Layon,France,110.71,9.88629436111989,6.0699676926819155,True
2006 Panama 12-Year,S.B.S.,,55.0%,Denmark,8.0,3,12.0,2006,Brown,,,,9.38629436111989,5.7398322356146325,False
2013 Special Cask Series Virgin Oak Finish 5-Year,Worthy Park,Pot Still,55.0%,Jamaica,7.0,3,5.0,2013,Brown,,,,8.38629436111989,5.0795613214800674,False
2010 Demerara Single Cask 10-Year,Michlers,Pot Still,45.0%,United Kingdom,7.3,3,10.0,2010,Brown,,,,8.68629436111989,5.277642595720437,False
Panama Discovery Range,La Maison Du Rhum,,42.0%,France,7.0,3,,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
Coconut,Bambarra,,,Turks and Caicos Islands,5.0,3,,2024,Flavoured,,,,6.386294361119891,3.7590194932109373,False
VSOP,Bougainville,,40.0%,Mauritius,7.3,3,,2024,Golden,,,,8.68629436111989,5.277642595720437,False
Banana,Largo Bay,,,United States,4.3,3,,2024,Flavoured,,,,5.686294361119891,3.2968298533167415,False
Santa Maria Port Finish 14-Year,Ron Cristobal,,40.0%,Dominican Republic,9.0,3,14.0,2024,Brown,,,,10.38629436111989,6.400103149749198,False
Oaxacan,Camazotz,Pot Still,46.0%,Mexico,8.0,3,,2024,White,,,,9.38629436111989,5.7398322356146325,False
Daily Ration 1-Year,Compass,,,Canada,5.0,3,1.0,2024,Golden,,,,6.386294361119891,3.7590194932109373,False
Guatemala 8-Year,Kill Devil (Hunter Laing),,,United Kingdom,6.7,3,8.0,2024,Brown,,,,8.08629436111989,4.881480047239698,False
2005 Single Cask No121 Forrest,Savanna,,,Reunion,9.7,3,,2005,Brown,,,,11.08629436111989,6.8622927896433925,False
Recioto Cask Finish 11-Year,Artesano,,60.9%,Germany,8.7,3,11.0,2024,Brown,,,,10.08629436111989,6.202021875508828,False
1987 Esencia 25-Year,Dictador,,,Colombia,8.3,3,25.0,1987,Brown,,,,9.686294361119892,5.937913509855003,False
White,Prohibitas,,,Barbados,7.5,3,,2024,White,,,,8.88629436111989,5.40969677854735,False
False Idol 151,Hamilton,,,Multiple,8.3,3,,2024,White,,,,9.686294361119892,5.937913509855003,False
Blanca 3-Year,Ron Perla Del Norte,,40.0%,Cuba,4.0,3,3.0,2024,White,,,,5.386294361119891,3.0987485790763722,False
2016 Edicion Profesional D 3-Year,Havana Club,,40.0%,Cuba,5.7,3,3.0,2016,White,,,,7.086294361119891,4.221209133105133,False
Spiced 2-Year,Capricorn,,40.0%,Australia,5.0,3,2.0,2024,Spiced,,,,6.386294361119891,3.7590194932109373,False
Beer Barrel Finish Spiced,Siesta Key,,,United States,7.7,3,,2024,Brown,,,,9.08629436111989,5.541750961374263,False
151,Trader Vics,,,United States,2.3,3,,2024,White,,,,3.6862943611198906,1.9762880250476114,False
2011 Reserve Master's Selection Whisky Exchange 8-Year,Chairman's,,46.0%,Saint Lucia,8.3,3,8.0,2011,Brown,,,,9.686294361119892,5.937913509855003,False
15-Year,Davidsen's,,40.0%,Denmark,4.7,3,15.0,2024,Brown,,,,6.086294361119891,3.560938218970568,False
Nanny Maroons,Rumclub Private Selection,,65.3%,Germany,7.0,3,,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
12-Year,Kyle's Club,,40.0%,Germany,5.3,3,12.0,2024,Brown,,,,6.686294361119891,3.957100767451307,False
Punch Pina Colada,Clement,Column Still (1-4),18.0%,Martinique,3.5,3,,2024,Flavoured,,,,4.886294361119891,2.7686131220090897,False
Guavaberry,KalembÃº,,,Dominican Republic,3.3,3,,2024,Flavoured,,,,4.686294361119891,2.6365589391821764,False
1998 Trinidad Port Finish,Plantation,,,Multiple,9.3,3,,1998,Brown,,,,10.686294361119892,6.598184423989569,False
Reserva Especial 12-Year,Puerto Blanco,,40.0%,Barbados,5.3,3,12.0,2024,Brown,,,,6.686294361119891,3.957100767451307,False
Great White,Whaler's,,40.0%,United States,5.7,3,,2024,White,,,,7.086294361119891,4.221209133105133,False
2018 La Palma 10-Year,Tres Hombres,,40.0%,Multiple,7.7,3,10.0,2018,Brown,,,,9.08629436111989,5.541750961374263,False
Cuban Coffee,Key West,,30.0%,United States,4.7,3,,2024,Flavoured,,,,6.086294361119891,3.560938218970568,False
151,El Dorado,,75.5%,Guyana,4.7,3,,2024,White,,,,6.086294361119891,3.560938218970568,False
2004 Fiji South Pacific 10-Year,Compagnie des Indes,,44.0%,France,8.7,3,10.0,2004,Brown,,,,10.08629436111989,6.202021875508828,False
1993 Guyana Uitvlugt 21-Year,Compagnie des Indes,,51.0%,France,8.3,3,21.0,1993,Brown,,,,9.686294361119892,5.937913509855003,False
12-Year,Royal Jamaican,,40.0%,Jamaica,7.5,3,12.0,2024,Brown,,,,8.88629436111989,5.40969677854735,False
2003 Trinidad 16-Year,Mezan,,46.0%,Multiple,8.3,3,16.0,2003,Brown,,,,9.686294361119892,5.937913509855003,False
09 12-Year,BVB 09,,40.0%,Dominican Republic,6.3,3,12.0,2024,Brown,,,,7.686294361119891,4.617371681585872,False
Gold,JD Shore,,40.0%,Canada,6.0,3,,2024,Golden,,,,7.386294361119891,4.419290407345502,False
1996 Old Trinidad,The Secret Treasures,,40.0%,Multiple,8.0,3,,1996,Brown,,,,9.38629436111989,5.7398322356146325,False
Spiced,Royal Jamaican,,40.0%,Jamaica,5.0,3,,2024,Spiced,,,,6.386294361119891,3.7590194932109373,False
Extreme Guyana 18-Year,Plantation,,,Multiple,7.7,3,18.0,2024,Brown,,,,9.08629436111989,5.541750961374263,False
9.12 Edition 9-Year,Alfred's Trail,,,United States,7.0,3,9.0,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
12-Year,Baoruco,,,Dominican Republic,5.7,3,12.0,2024,Brown,,,,7.086294361119891,4.221209133105133,False
1989 Velvet Revolution 30-Year,Ron de Jeremy,,50.4%,Panama,7.7,3,30.0,1989,Brown,,,,9.08629436111989,5.541750961374263,False
Silver Rum,Pedro Mandinga,,40.0%,Panama,7.5,3,,2024,White,,,,8.88629436111989,5.40969677854735,False
Dark,Ole Nassau,,40.0%,Bahamas,5.5,3,,2024,Black,,,,6.886294361119891,4.089154950278219,False
Cinnamon,Code,,,United States,2.3,3,,2024,Flavoured,,,,3.6862943611198906,1.9762880250476114,False
Ambré Domaci,Badel,,40.0%,Croatia,5.0,3,,2024,Golden,,,,6.386294361119891,3.7590194932109373,False
Pacifica,Pacifica,,56.0%,United States,5.0,3,,2024,Golden,,,,6.386294361119891,3.7590194932109373,False
1994 Guyana Enmore (REV) 27-Year,S.B.S.,Pot Still,48.5%,Denmark,8.0,3,27.0,1994,Brown,,,,9.38629436111989,5.7398322356146325,False
2019 Experimental Cask Series Jamaica 2019,S.B.S.,,,Denmark,9.0,3,,2019,Golden,,,,10.38629436111989,6.400103149749198,False
2014 Clarendon 8-Year,Rum Shark,Pot and Column Still,65.6%,Czechia,8.3,3,8.0,2014,Brown,,,,9.686294361119892,5.937913509855003,False
2007 Guyana Single Cask PX Sherry Finish,Mezan,Pot and Column Still,58.0%,Multiple,8.3,3,,2007,Brown,,,,9.686294361119892,5.937913509855003,False
Silver,Muddy River,,40.0%,United States,7.0,3,,2024,White,,,,8.38629436111989,5.0795613214800674,False
Oregon Oak Rested,Just Rum,,,United States,9.0,3,,2024,Golden,,,,10.38629436111989,6.400103149749198,False
Origen Extra Anejo,Cacique,,40.0%,Venezuela,5.0,3,,2024,Brown,,,,6.386294361119891,3.7590194932109373,False
Beach Fire Spiced,Beach Time,,,United States,7.3,3,,2024,Spiced,,,,8.68629436111989,5.277642595720437,False
Charanda Guarapo Ancestral 10-Year,Sol Tarasco,,42.0%,Mexico,7.7,3,10.0,2024,Brown,,,,9.08629436111989,5.541750961374263,False
Guatemala Single Estate 4-Year,Cane Island,,43.0%,United Kingdom,6.7,3,4.0,2024,Brown,,,,8.08629436111989,4.881480047239698,False
1991 Zafra,Carupano,,40.0%,Venezuela,8.3,3,,1991,Black,,,,9.686294361119892,5.937913509855003,False
2006 Sweetwine Cask 12-Year,Artesano,Pot and Column Still,40.0%,Germany,8.7,3,12.0,2006,Brown,,,,10.08629436111989,6.202021875508828,False
Dark,King Robert II,,40.0%,United Kingdom,4.0,3,,2024,Black,,,,5.386294361119891,3.0987485790763722,False
Era of Discovery Belize The Great Blue Hole,Rum Shark,,65.5%,Czechia,5.0,3,,2024,Brown,,,,6.386294361119891,3.7590194932109373,False
Trinidad 1999-2001-2003,Plantation,,,Multiple,7.7,3,,2024,Brown,,,,9.08629436111989,5.541750961374263,False
2021 Jamaica Overproof 7-Year,Papalin,Pot Still,57.18%,Multiple,9.0,3,7.0,2021,White,,,,10.38629436111989,6.400103149749198,False
Cafe 7-Year,Juan Santos,,40.0%,Colombia,6.3,3,7.0,2024,Flavoured,,,,7.686294361119891,4.617371681585872,False
2018 Takamaka 3-Year,Habitation Velier,Pot Still,60.8%,Italy,7.7,3,3.0,2018,Brown,,,,9.08629436111989,5.541750961374263,False
Special Reserve Portuguese Red Wine Cask 15-Year,El Dorado,,,Guyana,7.0,3,15.0,2024,Brown,,,,8.38629436111989,5.0795613214800674,False
Light,Belle Rose,,40.0%,United States,7.3,3,,2024,Brown,,,,8.68629436111989,5.277642595720437,False
41,Revolte,,,Germany,4.3,3,,2024,White,,,,5.686294361119891,3.2968298533167415,False
2020 1-Year,otis,,40.0%,Netherlands Antilles,8.0,3,1.0,2020,Golden,,,,9.38629436111989,5.7398322356146325,False
Gold,Gubba,,40.0%,United States,6.7,3,,2024,Golden,,,,8.08629436111989,4.881480047239698,False
Dark Oak,Bundaberg,,,Australia,5.0,3,,2024,Brown,,,,6.386294361119891,3.7590194932109373,False
2015 Single Barrel Cask No 8157 5-Year,Luisita,Column Still (5+),59.1%,Philippines,6.5,3,5.0,2015,Brown,,,,7.886294361119891,4.749425864412785,False
2003 South Pacific Distillery Edition 10-Year,Duncan Taylor,,,United Kingdom,3.0,3,10.0,2003,Brown,,,,4.386294361119891,2.438477664941807,False
Extra Anejo,Canaveral,,40.0%,Venezuela,6.0,3,,2024,Golden,,,,7.386294361119891,4.419290407345502,False
2004 Raw Cask Finest Barbados Foursquare 12-Year,Blackadder,,64.1%,Multiple,8.0,3,12.0,2004,Brown,,,,9.38629436111989,5.7398322356146325,False
Rum of the Gods White,Trader Joe's,,40.0%,Barbados,2.5,3,,2024,White,,,,3.886294361119891,2.1083422078745246,False
Cuvee Grande Reserve 7-Year,St. Aubin,,,Mauritius,5.0,3,7.0,2024,Brown,,,,6.386294361119891,3.7590194932109373,False
Blanco,Caney,,40.0%,Cuba,5.3,3,,2024,White,,,,6.686294361119891,3.957100767451307,False
2004 Fiji 16-Year,Holmes Cay,,,United States,8.7,3,16.0,2004,Brown,,,,10.08629436111989,6.202021875508828,False
V Generaciones 30-Year,Flor de CaÃ±a,,40.0%,Nicaragua,9.0,3,30.0,2024,Brown,,,,10.38629436111989,6.400103149749198,False
Bardinet Top Series,Negrita,,38.0%,Martinique,6.3,3,,2024,Black,,,,7.686294361119891,4.617371681585872,False
2019 Lâ€™AprÃ¨s-ski,Rosemont,,37.0%,Canada,6.3,3,,2019,Spiced,,,,7.686294361119891,4.617371681585872,False
White Chocolate Raspberry,Topper's,,,Saint Martin,7.0,3,,2024,Flavoured,,,,8.38629436111989,5.0795613214800674,False
