Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
8-Year,Clement,Agricole,Column Still (1-4),44.0%,Martinique,7.0,3.0,,8.0,,6.451037062347839
Spain XO Single Cask,Rum & Cane,Aged,,,Andorra,7.7,3.0,,,,6.540584212581305
Spiced,4670,Spiced,,,Australia,0.0,3.0,,,,5.55556556001318
6-Year,Flying Dutchman,Aged,,40.0%,Netherlands,7.3,3.0,,6.0,,6.489414412447896
9-Year,Dictador,Aged,,40.0%,Colombia,5.0,3.0,,9.0,,6.195188061680794
1990 Gran Reserve,Concepcion,Aged,,40.0%,Nicaragua,7.7,3.0,,,1990.0,6.540584212581305
Barbados Mackmyra Elegant 16-Year,Plantation,Aged,,40.0%,Multiple,8.0,3.0,,16.0,,6.5789615626813625
2016 Guadeloupe,Rum Nation,Agricole,,,Italy,3.0,3.0,,,2016.0,5.939339061013748
Gold,Mates,Gold,,,Netherlands,7.0,3.0,,,,6.451037062347839
2018 La Palma 10-Year,Tres Hombres,Aged,,40.0%,Multiple,7.7,3.0,,10.0,2018.0,6.540584212581305
2005 Trinidad T.D.L. 13-Year,Compagnie des Indes,Aged,,,France,7.7,3.0,,13.0,2005.0,6.540584212581305
12-Year,Kyle's Club,Aged,,40.0%,Germany,5.3,3.0,,12.0,,6.233565411780851
Beer Barrel Finish Spiced,Siesta Key,Aged,,,United States,7.7,3.0,,,,6.540584212581305
2007 Barbados 9-Year,Kill Devil (Hunter Laing),Aged,,,United Kingdom,7.7,3.0,,9.0,2007.0,6.540584212581305
Royal Blend,Plantation,Aged,,40.0%,Multiple,7.7,3.0,,,,6.540584212581305
Antigua 151 Proof 2-Year,Cavalier,Light,Column Still (1-4),75.5%,Antigua and Barbuda,7.3,3.0,,2.0,,6.489414412447896
2013 CuvÃ©e Speciale 50 2-Year,Montebello,Agricole,Column Still (1-4),50.0%,Guadeloupe,7.7,3.0,,2.0,2013.0,6.540584212581305
Cinnamon,Code,Flavored,,,United States,2.3,3.0,,,,5.849791910780283
Extreme Guyana 18-Year,Plantation,Aged,,,Multiple,7.7,3.0,,18.0,,6.540584212581305
White 75,Rivers Royal Granadian,Light,Pot Still,75.0%,Grenada,6.5,3.0,,,,6.387074812181078
12-Year,Baoruco,Aged,,,Dominican Republic,5.7,3.0,,12.0,,6.28473521191426
1989 Velvet Revolution 30-Year,Ron de Jeremy,Aged,,50.4%,Panama,7.7,3.0,,30.0,1989.0,6.540584212581305
Silver Rum,Pedro Mandinga,Light,,40.0%,Panama,7.5,3.0,,,,6.5149993125146
Spiced,English Spirit,Spiced,,,United Kingdom,6.0,3.0,,,,6.323112562014317
Spicy,La Mauny,Spiced,Column Still (1-4),32.0%,Martinique,4.0,3.0,,,,6.067263561347271
2015 liberation LMDW 60th Anniversary,Rhum Rhum,Aged,Pot Still,60.6%,Guadeloupe,8.3,3.0,,,2015.0,6.6173389127814195
Oregon Oak Rested,Just Rum,Gold,,,United States,9.0,3.0,,,,6.706886063014885
Spiced Bam Bam,Husk,Spiced,,40.0%,Australia,5.5,3.0,,,,6.259150311847556
Guyana Dark,Noble Selected,Dark,,40.0%,Sweden,6.3,3.0,,,,6.361489912114374
Blended,Kill Devil (Hunter Laing),Gold,,,United Kingdom,7.7,3.0,,,,6.540584212581305
Finest Caribbean 12-Year,Blackadder,Aged,,40.0%,Multiple,7.3,3.0,,12.0,,6.489414412447896
Silver,Ron Caribe,Light,,40.0%,Mexico,3.0,3.0,,,,5.939339061013748
Guyanan Green Label 10-Year,Cadenhead's,Aged,,46.0%,United Kingdom,4.3,3.0,,10.0,,6.1056409114473285
2017 XO Moscatel Cask Finish,Chamarel,Aged,,45.0%,Mauritius,8.3,3.0,,,2017.0,6.6173389127814195
Anniversary,Johannsen,Aged,,40.0%,Germany,5.7,3.0,,,,6.28473521191426
Spiced,Royal Jamaican,Spiced,,40.0%,Jamaica,5.0,3.0,,,,6.195188061680794
1996 Old Trinidad,The Secret Treasures,Aged,,40.0%,Multiple,8.0,3.0,,,1996.0,6.5789615626813625
2020,BocathÃ©va,Gold,,45.0%,Panama,6.5,3.0,,,2020.0,6.387074812181078
2007 Savanna Grand Arome,The Wild Parrot,Aged,,40.0%,Italy,9.0,3.0,,,2007.0,6.706886063014885
2001 Solera 18-Year,Louis Santo,Aged,,40.0%,Dominican Republic,7.3,3.0,,18.0,2001.0,6.489414412447896
Tale of Two Islands,Barrell,Aged,,,Jamaica,8.3,3.0,,,,6.6173389127814195
2021 Takamaka White,Habitation Velier,Light,Pot Still,56.0%,Italy,6.0,3.0,,,2021.0,6.323112562014317
2019 Experimental Cask Series Jamaica 2019,S.B.S.,Gold,,,Denmark,9.0,3.0,,,2019.0,6.706886063014885
AmbrÃ© 18-Month,Ferroni,Gold,,40.0%,Cuba,7.0,3.0,,,,6.451037062347839
Sugarcane,Bluebird,Light,,40.0%,United States,8.0,3.0,,,,6.5789615626813625
Seleccion Especial,Don Q,Aged,,40.0%,Puerto Rico,5.3,3.0,,,,6.233565411780851
2007 Select Cask 1st Edition Ltd Release 10-Year,Navy Island,Aged,Pot Still,51.2%,Jamaica,6.7,3.0,,10.0,2007.0,6.412659712247782
Simple White,Just Rum,Light,,51.0%,United States,6.5,3.0,,,,6.387074812181078
2001 Single Cask 11-Year,Trois Rivieres,Agricole,Column Still (1-4),43.0%,Martinique,7.3,3.0,,11.0,2001.0,6.489414412447896
2020 Jamaica NYE-WK PX Cask Matured,S.B.S.,Aged,Pot Still,58.3%,Denmark,8.3,3.0,,,2020.0,6.6173389127814195
2004 Fiji South Pacific 10-Year,Compagnie des Indes,Aged,,44.0%,France,8.7,3.0,,10.0,2004.0,6.668508712914828
1993 Guyana Uitvlugt 21-Year,Compagnie des Indes,Aged,,51.0%,France,8.3,3.0,,21.0,1993.0,6.6173389127814195
2013 Special Cask Series Virgin Oak Finish 5-Year,Worthy Park,Aged,Pot Still,55.0%,Jamaica,7.0,3.0,,5.0,2013.0,6.451037062347839
12-Year,Royal Jamaican,Aged,,40.0%,Jamaica,7.5,3.0,,12.0,,6.5149993125146
Mango,Bozkov,Flavored,,,Czechia,5.3,3.0,,,,6.233565411780851
White,Carioca,Light,,40.0%,Canada,3.3,3.0,,,,5.977716411113805
Premium Spiced,Treasure Island,Spiced,,,Australia,4.0,3.0,,,,6.067263561347271
2016 Genesis Ambre 2-Year,Longueteau,Agricole,Column Still (1-4),72.3%,Guadeloupe,7.3,3.0,,2.0,2016.0,6.489414412447896
1999 Port Morant,Bristol Classic,Aged,,,United Kingdom,5.7,3.0,,,1999.0,6.28473521191426
ArrangÃ© Banane Vanillee,Riviere du Mat,Flavored,,40.0%,Reunion,7.0,3.0,,,,6.451037062347839
Spiced,Mr. Tom's Spirits,Spiced,,40.0%,United States,2.5,3.0,,,,5.875376810846987
1983 Jamaica Old Reserve,Plantation,Aged,,,Multiple,8.0,3.0,,,1983.0,6.5789615626813625
CafÃ©,KalembÃº,Flavored,,,Dominican Republic,3.0,3.0,,,,5.939339061013748
Rum Boat,Ironworks,Aged,,45.0%,Canada,7.3,3.0,,,,6.489414412447896
Blanca 3-Year,Ron Perla Del Norte,Light,,40.0%,Cuba,4.0,3.0,,3.0,,6.067263561347271
2005 Belize 14-Year,S.B.S.,Aged,,58.0%,Denmark,9.0,3.0,,14.0,2005.0,6.706886063014885
Jamaican 13-Year,Berry's,Aged,,,Multiple,2.0,3.0,,13.0,,5.811414560680226
Silver,Port Hawk,Light,,40.0%,United States,1.0,3.0,,,,5.683490060346703
Honey 20 Red Label,Guajiro,Flavored,,20.0%,Spain,7.0,3.0,,,,6.451037062347839
2009 Belize Single Cask Wild Sherry Cask Finish 10-Year,Plantation,Aged,,44.1%,Multiple,7.3,3.0,,10.0,2009.0,6.489414412447896
Cuba Dominican Republic XO,1731,Aged,,40.0%,Netherlands,7.0,3.0,,,,6.451037062347839
2019 3-Year,Providence,Aged,,52.0%,Haiti,9.0,3.0,,3.0,2019.0,6.706886063014885
Distillerâ€™s Reserve Spiced,Siesta Key,Spiced,,,United States,6.0,3.0,,,,6.323112562014317
Wolfberry,Bacardi,Flavored,,,Puerto Rico,1.7,3.0,,,,5.773037210580169
Gold 5-Year,Rosemullion Distillery,Gold,,40.0%,United Kingdom,7.5,3.0,,5.0,,6.5149993125146
Single Barrel 8-Year,Edward Teach,Aged,,,Cayman Islands,6.7,3.0,,8.0,,6.412659712247782
Rum Punch,Clarkes Court,Flavored,,,Grenada,3.7,3.0,,,,6.028886211247214
Reserva Real 12-Year,Mulata,Aged,,40.0%,Cuba,5.3,3.0,,12.0,,6.233565411780851
1999 Guyana Uitvlugt 17-Year,Kill Devil (Hunter Laing),Aged,Pot Still,46.0%,United Kingdom,7.7,3.0,,17.0,1999.0,6.540584212581305
Exotic Spices 2-Year,Elements 8,Spiced,,,Saint Lucia,6.3,3.0,,2.0,,6.361489912114374
Fiji 15-Year,The Rum Cask,Aged,,,Germany,8.7,3.0,,15.0,,6.668508712914828
Fijian 9-Year,Berry's,Aged,,40.0%,Multiple,5.0,3.0,,9.0,,6.195188061680794
Plata 3-Year,Cubaney,Light,,40.0%,Dominican Republic,5.7,3.0,,3.0,,6.28473521191426
Extra Vieux 8-Year,Neisson,Agricole,Column Still (1-4),45.0%,Martinique,8.0,3.0,,8.0,,6.5789615626813625
Anejo,Papagayo,Aged,,40.0%,United States,6.0,3.0,,,,6.323112562014317
2001 Trinidad Tdl 19-Year,Rum Artesanal,Aged,,,Multiple,9.0,3.0,,19.0,2001.0,6.706886063014885
Extreme No4 Long Pond 2000 ITP 20-Year,Plantation,Aged,,52.1%,Multiple,9.0,3.0,,20.0,,6.706886063014885
Brut,Bavaro,Gold,,,Dominican Republic,6.7,3.0,,,,6.412659712247782
Royal Spiced,Emperor,Spiced,,40.0%,Mauritius,7.3,3.0,,,,6.489414412447896
Cuba XO,Rum & Cane,Aged,,40.0%,Andorra,5.3,3.0,,,,6.233565411780851
Still Strength Cachaca,Avua,Cachaca,,,Brazil,6.7,3.0,,,,6.412659712247782
ArgentÃ©,Parade,Light,,40.0%,United States,7.0,3.0,,,,6.451037062347839
1998 Guadeloupe Bellevue 17-Year,Compagnie des Indes,Aged,,43.0%,France,4.7,3.0,,17.0,1998.0,6.156810711580737
Spiced,Thrasherâ€™s,Spiced,,,United States,6.7,3.0,,,,6.412659712247782
2011 Reserve Master's Selection Whisky Exchange 8-Year,Chairman's,Aged,,46.0%,Saint Lucia,8.3,3.0,,8.0,2011.0,6.6173389127814195
Angel's Half French Oak,Nine Leaves,Gold,,40.0%,Japan,5.0,3.0,,,,6.195188061680794
Kalani,Xtabentun,Flavored,,40.0%,Mexico,7.3,3.0,,,,6.489414412447896
Gran Reserve,Ron Viejo de Caldas,Aged,,40.0%,Colombia,7.5,3.0,,,,6.5149993125146
2003 Guyana Diamond 13-Year,Transcontinental Rum Line,Aged,,57.0%,France,8.0,3.0,,13.0,2003.0,6.5789615626813625
1998 Trinidad Caroni Haromex 21-Year,Bristol Classic,Aged,,58.7%,United Kingdom,9.0,3.0,,21.0,1998.0,6.706886063014885
1998 Grenada,Mezan,Aged,,40.0%,Multiple,7.7,3.0,,,1998.0,6.540584212581305
2011 Brazil 2011 9-Year,S.B.S.,Aged,,,Denmark,7.5,3.0,,9.0,2011.0,6.5149993125146
2010 4-Year,Montebello,Agricole,Column Still (1-4),42.0%,Guadeloupe,4.5,3.0,,4.0,2010.0,6.131225811514033
2006 Panama 12-Year,S.B.S.,Aged,,55.0%,Denmark,8.0,3.0,,12.0,2006.0,6.5789615626813625
1991 Seleccion,Malteco,Aged,Column Still (5+),40.0%,Guatemala,9.3,3.0,,,,6.745263413114942
Vieux CuvÃ©e Renaissance,Heritiers Madkaud,Agricole,,40.0%,Martinique,5.0,3.0,,,,6.195188061680794
Arturo Makasare Ed. 2021 15-Year,Corman Collins,Aged,,44.0%,Belgium,8.7,3.0,,15.0,,6.668508712914828
1995 Old Barbados,The Secret Treasures,Aged,,,Multiple,6.0,3.0,,,1995.0,6.323112562014317
Royal Selection,Mahina,Dark,,40.0%,United States,4.0,3.0,,,,6.067263561347271
Beach Fire Spiced,Beach Time,Spiced,,,United States,7.3,3.0,,,,6.489414412447896
Cask Strength 8.6,Alfred's Trail,Aged,,,United States,8.0,3.0,,,,6.5789615626813625
The Conscious Choice 8-Year,Ron Sostenible,Dark,,40.0%,Dominican Republic,6.7,3.0,,8.0,,6.412659712247782
Spiced,Kingston,Spiced,,40.0%,Barbados,2.3,3.0,,,,5.849791910780283
O,Farthofer,Gold,,40.0%,Austria,3.3,3.0,,,,5.977716411113805
Charanda Guarapo Ancestral 10-Year,Sol Tarasco,Aged,,42.0%,Mexico,7.7,3.0,,10.0,,6.540584212581305
Gold,Jules Verne,Gold,,40.0%,Paraguay,5.7,3.0,,,,6.28473521191426
1999 Single Cask 12-Year,Montebello,Agricole,Column Still (1-4),40.0%,Guadeloupe,7.7,3.0,,12.0,1999.0,6.540584212581305
Grand Anejo 8,Hispaniola,Aged,,40.0%,Dominican Republic,6.7,3.0,,,,6.412659712247782
1997 Port Mourant,Velier,Aged,,,Multiple,9.7,3.0,,,1997.0,6.796433213248351
McDovellâ€™s Celebration,McDowell,Gold,,,India,5.3,3.0,,,,6.233565411780851
Origen Extra Anejo,Cacique,Aged,,40.0%,Venezuela,5.0,3.0,,,,6.195188061680794
2003 Brut de Fût 15-Year,Depaz,Agricole,Column Still (1-4),58.5%,Martinique,7.0,3.0,,15.0,2003.0,6.451037062347839
Extra Saphir 8-Year,La Mauny,Agricole,Column Still (1-4),40.0%,Martinique,6.3,3.0,,8.0,,6.361489912114374
Small Batch 80 proof,Humboldt,Gold,,40.0%,United States,5.0,3.0,,,,6.195188061680794
Gold,Palo Viejo,Gold,,40.0%,Puerto Rico,5.0,3.0,,,,6.195188061680794
2017 Mhoba Single Cask 4-Year,Holmes Cay,Aged,Pot Still,59.0%,United States,6.3,3.0,,4.0,2017.0,6.361489912114374
Master Series Edition No 1 12-Year,Foursquare,Aged,Pot and Column Still,62.0%,Barbados,8.0,3.0,,12.0,,6.5789615626813625
2006 Sweetwine Cask 12-Year,Artesano,Aged,Pot and Column Still,40.0%,Germany,8.7,3.0,,12.0,2006.0,6.668508712914828
Traditional Old 10-Year,St. Aubin,Aged,,43.0%,Mauritius,6.3,3.0,,10.0,,6.361489912114374
Dark,Gold Miner,Dark,,40.0%,United States,4.7,3.0,,,,6.156810711580737
Barbados 13Â°10â€˜N 59Â°32â€˜W,Pelicano,Gold,,40.0%,Multiple,4.0,3.0,,,,6.067263561347271
2003 Sancti Spiritus Sherry Finish,Bristol Classic,Aged,,,United Kingdom,7.3,3.0,,,2003.0,6.489414412447896
2001 Trinidad Single Cask 18-Year,Transcontinental Rum Line,Light,,59.9%,France,9.0,3.0,,18.0,2001.0,6.706886063014885
Jade 4-Year,Cihuatan,Aged,,40.0%,El Salvador,7.3,3.0,,4.0,,6.489414412447896
Charanda Anejo,Uruapan,Aged,,46.0%,Mexico,8.0,3.0,,,,6.5789615626813625
Carta Oro 3-Year,Malecon,Gold,,40.0%,Panama,7.3,3.0,,3.0,,6.489414412447896
Barrel Aged Straight,Oxbow Estate,Aged,,47.5%,United States,6.0,3.0,,,,6.323112562014317
1998 Diamond 20-Year,Rum Artesanal,Aged,,52.0%,Multiple,7.3,3.0,,20.0,1998.0,6.489414412447896
Don Rhon Gran Reserva Edicion Limitada,Vinicola del Norte S.A.,Aged,,40.0%,Dominican Republic,3.3,3.0,,,,5.977716411113805
1998 Diamond SVW 20-Year,El Dorado,Aged,Pot Still,54.9%,Guyana,9.0,3.0,,20.0,1998.0,6.706886063014885
Coffee,Aluna,Flavored,Pot and Column Still,25.0%,Guatemala,4.0,3.0,,,,6.067263561347271
CuvÃ©e SpÃ©ciale Mojito & Long Drink,Trois Rivieres,Agricole,Column Still (1-4),40.0%,Martinique,4.5,3.0,,,,6.131225811514033
Banane Cacao,Ti Arrange de Ced,Flavored,,40.0%,France,8.0,3.0,,,,6.5789615626813625
AmbrÃ©,La Mauny,Agricole,,40.0%,Martinique,6.3,3.0,,,,6.361489912114374
Haiti XO Single Cask Dry Curaçao 7-Year,Plantation,Aged,,40.2%,Multiple,6.3,3.0,,7.0,,6.361489912114374
White,Skotlander,Light,,40.0%,Denmark,4.7,3.0,,,,6.156810711580737
1998 10-Year,Rhum JM,Agricole,Column Still (1-4),48.4%,Martinique,10.0,3.0,,10.0,1998.0,6.834810563348408
Ron Ron RumlikÃ¶r Elixir de Caribbean,Senor Ron,Flavored,,34.0%,Germany,8.0,3.0,,,,6.5789615626813625
Silver,Bambarra,Light,,40.0%,Turks and Caicos Islands,4.7,3.0,,,,6.156810711580737
2002 Vale Royal,Bristol Classic,Gold,,40.0%,United Kingdom,5.3,3.0,,,2002.0,6.233565411780851
2007 Single Cask American Oak Ageing Coffee Liqueur Casks Finish,Coloma,Aged,,50.0%,Colombia,7.7,3.0,,0.0,2007.0,6.540584212581305
Black Cherry,Kingston,Flavored,,40.0%,Barbados,1.7,3.0,,,,5.773037210580169
N° 01,Infamous,Spiced,,40.0%,Belgium,9.0,3.0,,,,6.706886063014885
2004 Karaya Guyana Versailles Cask Strength,Tamosi,Aged,,58.9%,Barbados,9.0,3.0,,,2004.0,6.706886063014885
1989 21-Year,Damoiseau,Agricole,Column Still (1-4),58.4%,Guadeloupe,9.0,3.0,,21.0,1989.0,6.706886063014885
1981 Seleccion,Malteco,Aged,Column Still (5+),40.0%,Guatemala,9.0,3.0,,,,6.706886063014885
Arrangeâ€™ Vanilles Des ÃŽles,Arcane,Flavored,,40.0%,Mauritius,6.3,3.0,,,,6.361489912114374
2009 Single Still Enmore 12-Year,El Dorado,Aged,Column Still (1-4),40.0%,Guyana,8.0,3.0,,12.0,2009.0,6.5789615626813625
2017 VO ex-Banyuls Brut de FÃ¼t Bny21 3-Year,Manutea,Aged,,58.7%,French Polynesia,7.0,3.0,,3.0,2017.0,6.451037062347839
Anejo Gran Reserva 18-Year,La Cruz,Gold,,40.0%,Panama,7.7,3.0,,18.0,,6.540584212581305
2008 SC 2020 Guyana Pineau de Charentes 12-Year,Plantation,Aged,Pot Still,47.6%,Multiple,7.7,3.0,,12.0,2008.0,6.540584212581305
1984 Vieux 12-Year,Montebello,Agricole,Column Still (1-4),42.0%,Guadeloupe,5.3,3.0,,12.0,1984.0,6.233565411780851
10-Year,Coyopa,Aged,,40.0%,Barbados,7.3,3.0,,10.0,,6.489414412447896
1991 Jamaica Supreme Lord VIII 25-Year,Rum Nation,Aged,,,Italy,10.0,3.0,,25.0,1991.0,6.834810563348408
Coconut,Ole Nassau,Flavored,,30.0%,Bahamas,5.0,3.0,,,,6.195188061680794
Strawberries & Whipped Creme Swirl,Malibu,Flavored,,,Canada,1.7,3.0,,,,5.773037210580169
Premium White,Labourdonnais,Light,,40.0%,Mauritius,2.3,3.0,,,,5.849791910780283
1998 Barbados 13-Year,Berry Bros & Rudd,Aged,,,United Kingdom,6.3,3.0,,13.0,1998.0,6.361489912114374
2014 Edicion Profesional A 4-Year,Havana Club,Light,,40.0%,Cuba,7.7,3.0,,4.0,2014.0,6.540584212581305
Cuvee 250th Anniversary 5-Year,Saint James,Agricole,Column Still (1-4),42.0%,Martinique,3.7,3.0,,5.0,,6.028886211247214
Cuvee du Grand Saint Pierre XO 9-Year,Depaz,Agricole,Column Still (1-4),45.0%,Martinique,8.0,3.0,,9.0,,6.5789615626813625
Trinidad 1999-2001-2003,Plantation,Aged,,,Multiple,7.7,3.0,,,,6.540584212581305
Caribbean Spiced,Boquerón,Spiced,,,Multiple,6.7,3.0,,,,6.412659712247782
Double Aged,Charbay,Aged,,40.0%,United States,7.0,3.0,,,,6.451037062347839
2003 Guyana Diamond MPM 14-Year,Cadenhead's,Aged,Pot Still,59.6%,United Kingdom,6.3,3.0,,14.0,2003.0,6.361489912114374
1993 Port Mourant,Velier,Aged,,,Multiple,9.0,3.0,,,1993.0,6.706886063014885
Golden,Papagayo,Gold,,40.0%,United States,5.7,3.0,,,,6.28473521191426
InlÃ¤nder,Mautner,Gold,,,Austria,3.0,3.0,,,,5.939339061013748
Honeycomb And Caramel,Greedy Fox,Dark,,40.0%,United Kingdom,7.3,3.0,,,,6.489414412447896
2011 Chamarel 6-Year,Velier,Aged,,,Multiple,7.7,3.0,,6.0,2011.0,6.540584212581305
2004 Panama 13-Year,Duncan Taylor,Aged,,,United Kingdom,7.7,3.0,,13.0,2004.0,6.540584212581305
Blanc,Rosemont,Light,,40.0%,Canada,5.0,3.0,,,,6.195188061680794
1986 Jamaica 26-Year,Rum Nation,Aged,,,Italy,10.0,3.0,,26.0,1986.0,6.834810563348408
Le Rhum Soleil,Pere Labat,Agricole,Column Still (1-4),55.0%,Guadeloupe,5.3,3.0,,,,6.233565411780851
2020 1-Year,otis,Gold,,40.0%,Netherlands Antilles,8.0,3.0,,1.0,2020.0,6.5789615626813625
Cacao,Copalli,Flavored,,,Belize,6.7,3.0,,,,6.412659712247782
Gold,Ole Nassau,Gold,,40.0%,Bahamas,6.0,3.0,,,,6.323112562014317
3-Year,Fortin,Gold,,40.0%,Paraguay,5.7,3.0,,3.0,,6.28473521191426
Extra Anejo,Canaveral,Gold,,40.0%,Venezuela,6.0,3.0,,,,6.323112562014317
Mayan Aged,Cozumel,Aged,,40.0%,Mexico,8.0,3.0,94.99,,,6.5789615626813625
151 from Mauritius 7-Year,Tilambic,Light,,75.5%,Martinique,6.0,3.0,,7.0,,6.323112562014317
Michigan Amber,New Holland,Gold,,40.0%,United States,8.5,3.0,,,,6.642923812848124
2018 Genesis Blanc Batch 3,Longueteau,Agricole,Column Still (1-4),72.7%,Guadeloupe,8.7,3.0,,,2018.0,6.668508712914828
1998 Single Cask (Cognac),HSE,Agricole,Column Still (1-4),47.8%,Martinique,9.0,3.0,,,1998.0,6.706886063014885
Cuvee Speciale,Riviere du Mat,Gold,,40.0%,Reunion,7.0,3.0,,,,6.451037062347839
CuraCao,Lyon,Flavored,,35.0%,United States,6.7,3.0,,,,6.412659712247782
Extra Old 16-Year,English Harbour,Aged,Column Still (1-4),40.0%,Antigua and Barbuda,7.0,3.0,,16.0,,6.451037062347839
2000 Barbados Blackrock BBR 11-Year,Cadenhead's,Aged,Pot Still,59.1%,United Kingdom,7.3,3.0,,11.0,2000.0,6.489414412447896
Coconut,Bambarra,Flavored,,,Turks and Caicos Islands,5.0,3.0,,,,6.195188061680794
Zimní Speciál,Bozkov,Flavored,,,Czechia,4.7,3.0,,,,6.156810711580737
2023 Saw Cask Warehouse #1 5-Year,Mhoba,Light,Pot Still,63.5%,South Africa,8.3,3.0,,5.0,2023.0,6.6173389127814195
Single Barrel,Maggie's Farm,Aged,,,United States,7.3,3.0,,,,6.489414412447896
Cask Aged Golden,Revolver,Gold,,,United Kingdom,5.0,3.0,,,,6.195188061680794
XO 6-Year,St. Aubin,Aged,Pot Still,44.0%,Mauritius,7.7,3.0,,6.0,,6.540584212581305
Light,Belle Rose,Aged,,40.0%,United States,7.3,3.0,,,,6.489414412447896
Key Lime,Prichard's,Flavored,,,United States,3.0,3.0,,,,5.939339061013748
2004 Cask Strength 13-Year,Depaz,Agricole,,58.0%,Martinique,8.7,3.0,,13.0,2004.0,6.668508712914828
Extra Anejo,Potosi,Aged,,40.0%,Mexico,7.7,3.0,,,,6.540584212581305
Xtra Mature Premium,XM,Aged,,40.0%,Guyana,6.0,3.0,,,,6.323112562014317
18-Year,Vacilon,Aged,,40.0%,Cuba,7.3,3.0,,18.0,,6.489414412447896
Premium 6-Year,Calazan,Aged,,40.0%,Venezuela,7.0,3.0,,6.0,,6.451037062347839
Reserve du Comte Arthur Dillon 8-Year,Dillon,Agricole,Column Still (1-4),43.0%,Martinique,7.7,3.0,,8.0,,6.540584212581305
5-Year,Isautier,Agricole,,40.0%,Reunion,7.3,3.0,,5.0,,6.489414412447896
Dos Azores,Antila,Light,,40.0%,Portugal,4.7,3.0,,,,6.156810711580737
2012 Panama Ruby Port Cask Finish 8-Year,Artesano,Aged,Column Still (1-4),40.6%,Germany,7.0,3.0,,8.0,2012.0,6.451037062347839
Coconut 4-Year,Pirates Fire,Light,,65.0%,Bahamas,9.0,3.0,,4.0,,6.706886063014885
XO 15-Year,Saint Christopher,Aged,,40.0%,Netherlands Antilles,6.0,3.0,,15.0,,6.323112562014317
Silver,Smatts,Light,,40.0%,Jamaica,5.5,3.0,,,,6.259150311847556
2017 FAQ Plastic,Mhoba,Aged,Pot Still,64.3%,South Africa,8.0,3.0,,,2017.0,6.5789615626813625
1992 Venezuela,Plantation,Aged,,,Multiple,8.0,3.0,,,1992.0,6.5789615626813625
Barbados Jamaica XO,Plantation,Aged,,,Multiple,8.5,3.0,,,,6.642923812848124
2010 Demerara Single Cask 10-Year,Michlers,Aged,Pot Still,45.0%,United Kingdom,7.3,3.0,,10.0,2010.0,6.489414412447896
Silver,Old J,Spiced,,,United Kingdom,4.5,3.0,,,,6.131225811514033
Solera 21-Year,Ron Hero,Aged,,40.0%,Italy,8.3,3.0,,21.0,,6.6173389127814195
1749 Ambre,La Mauny,Agricole,Column Still (1-4),40.0%,Martinique,6.7,3.0,,,,6.412659712247782
Gold,Jah45,Gold,,,United Kingdom,7.3,3.0,,,,6.489414412447896
2001 Trinidad 19-Year,Transcontinental Rum Line,Aged,Column Still (1-4),66.8%,France,7.3,3.0,,19.0,2001.0,6.489414412447896
Superior White,Formosa,Light,,40.0%,Taiwan,5.0,3.0,,,,6.195188061680794
2004 Fiji Secret Distillery 12-Year,Ultimatum,Aged,,46.0%,Netherlands Antilles,7.3,3.0,,12.0,2004.0,6.489414412447896
Reserva 5-Year,Escudero,Aged,,40.0%,Sweden,6.7,3.0,,5.0,,6.412659712247782
500 Cuts Coconut And Vanilla,Brewdog,Flavored,,40.0%,United Kingdom,1.0,3.0,,,,5.683490060346703
2008 Panama 10-Year,Mezan,Aged,,46.0%,Multiple,9.3,3.0,,10.0,2008.0,6.745263413114942
Spiced,Libations,Spiced,,40.0%,United Kingdom,7.3,3.0,,,,6.489414412447896
Anejo De Luxe,Estelar,Gold,,40.0%,Ecuador,5.7,3.0,,,,6.28473521191426
PX Liqueur,SAMAI,Flavored,,38.0%,Cambodia,3.5,3.0,,,,6.00330131118051
Panama 15-Year,Silver Seal,Aged,,,Italy,8.5,3.0,,15.0,,6.642923812848124
2013 Martinique Hors d'Age,Rum Nation,Agricole,,,Italy,8.3,3.0,,,2013.0,6.6173389127814195
Blanc 55,Depaz,Agricole,Column Still (1-4),55.0%,Martinique,6.0,3.0,,,,6.323112562014317
2020 Bête à Feu,A 1710,Agricole,Column Still (1-4),50.9%,Martinique,7.7,3.0,,,2020.0,6.540584212581305
1990 Port Morant Demerara Port Finish,Bristol Classic,Aged,,,United Kingdom,8.3,3.0,,,1990.0,6.6173389127814195
2014 Brut de Fût 7-Year,Bielle,Agricole,Column Still (1-4),56.9%,Guadeloupe,8.7,3.0,,7.0,2014.0,6.668508712914828
Panama Discovery Range,La Maison Du Rhum,Aged,,42.0%,France,7.0,3.0,,,,6.451037062347839
15-Year,Davidsen's,Aged,,40.0%,Denmark,4.7,3.0,,15.0,,6.156810711580737
Nanny Maroons,Rumclub Private Selection,Aged,,65.3%,Germany,7.0,3.0,,,,6.451037062347839
Punch Pina Colada,Clement,Flavored,Column Still (1-4),18.0%,Martinique,3.5,3.0,,,,6.00330131118051
Guavaberry,KalembÃº,Flavored,,,Dominican Republic,3.3,3.0,,,,5.977716411113805
1998 Trinidad Port Finish,Plantation,Aged,,,Multiple,9.3,3.0,,,1998.0,6.745263413114942
Reserva Especial 12-Year,Puerto Blanco,Aged,,40.0%,Barbados,5.3,3.0,,12.0,,6.233565411780851
