Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
Black Gold Special Reserve,Blackwell,Aged,,,Jamaica,6.8,139.0,,,,6.74491331140845
XO,UNHIQ,Aged,,40.0%,Dominican Republic,9.1,139.0,,,,8.749913801937602
Reserve 8-Year,Appleton Estate,Aged,,43.0%,Jamaica,6.7,139.0,33.99,8.0,,6.657739377037617
Private Cask,Atlantico,Aged,,,Dominican Republic,6.7,139.0,,,,6.657739377037617
Original 80,Stroh,Flavored,,,Austria,3.1,138.0,,,,3.5221250998133495
Leyenda,Brugal,Aged,,40.0%,Dominican Republic,8.4,137.0,,,,8.136389795344636
23-Year,Presidente,Aged,,40.0%,Dominican Republic,8.1,137.0,,23.0,,7.8753567552837
2000,Diplomatico,Aged,,,Venezuela,9.2,137.0,,,2000.0,8.832477902173798
7-Year,Angostura,Aged,,40.0%,Trinidad and Tobago,6.5,135.0,,7.0,,6.482964146460438
1703 Old Cask,Mount Gay,Aged,,,Barbados,7.9,133.0,90.51,,,7.696156141512792
Blanco,Havana Club,Light,,40.0%,Cuba,4.3,131.0,,,,4.579592690165274
Black Strap,Cruzan,Dark,,,"Virgin Islands, U.S.",6.4,131.0,,,,6.3960177776731655
XO Cask,Ron Esclavo,Aged,,40.0%,Dominican Republic,8.9,131.0,,,,8.558428596134938
Imperial Onyx,Barcelo,Aged,,,Dominican Republic,7.5,129.0,,,,7.345437452453174
Spiced,Dead Man's Fingers,Spiced,,,United Kingdom,6.0,127.0,,,,6.051389295808872
Añejo,Diplomatico,Gold,,40.0%,Venezuela,6.3,127.0,,,,6.309779636121877
8-Year,Hampden Estate,Aged,Pot and Column Still,,Jamaica,7.6,126.0,,8.0,,7.428306704273181
Limon,Bacardi,Flavored,,40.0%,Puerto Rico,3.4,126.0,,,,3.8148196110084207
Anejo,Barcelo,Gold,,40.0%,Dominican Republic,5.4,125.0,25.99,,,5.5364595245257044
Royal Ambre 18-Mois,Saint James,Agricole,Column Still (1-4),40.0%,Martinique,5.3,123.0,,,,5.452618679437366
23-Year,Quorhum,Aged,,40.0%,Dominican Republic,7.8,122.0,,23.0,,7.594772165780648
Spiced,Bayou,Spiced,,40.0%,United States,7.0,121.0,,,,6.908986983852439
Reserve,Appleton Estate,Gold,,,Jamaica,6.3,121.0,,,,6.310194463014412
XO,Santos Dumont,Aged,,40.0%,Brazil,7.2,120.0,,,,7.079216675147796
Habanero 12-Year,El Ron Prohibido,Aged,,,Mexico,5.2,119.0,,12.0,,5.371661939369462
Panama Extra Añejo 12-Year,Companero,Aged,Column Still (1-4),54.0%,Multiple,7.4,118.0,,12.0,,7.247928907224235
19-Year,Presidente,Aged,,,Dominican Republic,8.1,118.0,,19.0,,7.844528437703337
Caribbean,Duppy Share,Aged,,40.0%,Multiple,6.4,117.0,,,,6.39561217147396
Luxus,Dos Maderas,Aged,,40.0%,Barbados,8.7,117.0,,,,8.353396028395823
Gran Anejo Guatemala,Plantation,Aged,,,Multiple,7.2,114.0,,,,7.073826621101398
